TIME,GEO,NACE_R2,Emissions
2008,Greece,Total - all NACE activities,109477660.33
2008,Greece,"Agriculture, forestry and fishing",11476881.48
2008,Greece,Mining and quarrying,801248.95
2008,Greece,Manufacturing,19439844.22
2008,Greece,"Electricity, gas, steam and air conditioning supply",54078893.38
2008,Greece,"Water supply; sewerage, waste management and remediation activities",4831119.37
2008,Greece,Construction,949149.87
2008,Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,448168.24
2008,Greece,Transportation and storage,8833131.38
2008,Greece,Accommodation and food service activities,1380876.81
2008,Greece,Information and communication,96381.79
2008,Greece,Financial and insurance activities,180257.64
2008,Greece,Real estate activities,7784.04
2008,Greece,"Professional, scientific and technical activities",363277.02
2008,Greece,Administrative and support service activities,171650.71
2008,Greece,Public administration and defence; compulsory social security,3342767.76
2008,Greece,Education,1271510.75
2008,Greece,Human health and social work activities,1352962.87
2008,Greece,"Arts, entertainment and recreation",185371.21
2008,Greece,Other service activities,184831.77
2008,Greece,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,81551.07
2008,Greece,Activities of extraterritorial organisations and bodies,0.0
2008,Spain,Total - all NACE activities,348803490.98
2008,Spain,"Agriculture, forestry and fishing",48225087.7
2008,Spain,Mining and quarrying,5710532.5
2008,Spain,Manufacturing,109993531.0
2008,Spain,"Electricity, gas, steam and air conditioning supply",93989814.77
2008,Spain,"Water supply; sewerage, waste management and remediation activities",13238340.46
2008,Spain,Construction,2030320.84
2008,Spain,Wholesale and retail trade; repair of motor vehicles and motorcycles,8996911.1
2008,Spain,Transportation and storage,57496176.76
2008,Spain,Accommodation and food service activities,889907.44
2008,Spain,Information and communication,545340.23
2008,Spain,Financial and insurance activities,302948.03
2008,Spain,Real estate activities,100802.24
2008,Spain,"Professional, scientific and technical activities",461492.27
2008,Spain,Administrative and support service activities,324975.47
2008,Spain,Public administration and defence; compulsory social security,2698741.98
2008,Spain,Education,1082131.31
2008,Spain,Human health and social work activities,1761524.19
2008,Spain,"Arts, entertainment and recreation",87819.93
2008,Spain,Other service activities,867092.63
2008,Spain,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.12
2008,Spain,Activities of extraterritorial organisations and bodies,0.0
2008,France,Total - all NACE activities,399240241.33
2008,France,"Agriculture, forestry and fishing",92307605.07
2008,France,Mining and quarrying,1586671.1
2008,France,Manufacturing,127441750.3
2008,France,"Electricity, gas, steam and air conditioning supply",41397333.89
2008,France,"Water supply; sewerage, waste management and remediation activities",27124671.62
2008,France,Construction,8062449.65
2008,France,Wholesale and retail trade; repair of motor vehicles and motorcycles,14400812.22
2008,France,Transportation and storage,52652700.66
2008,France,Accommodation and food service activities,4027032.65
2008,France,Information and communication,1087562.3
2008,France,Financial and insurance activities,945867.53
2008,France,Real estate activities,493476.69
2008,France,"Professional, scientific and technical activities",2552040.26
2008,France,Administrative and support service activities,7269331.5
2008,France,Public administration and defence; compulsory social security,4697854.97
2008,France,Education,3439336.42
2008,France,Human health and social work activities,6216884.01
2008,France,"Arts, entertainment and recreation",1863246.31
2008,France,Other service activities,1673614.2
2008,France,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,France,Activities of extraterritorial organisations and bodies,0.0
2008,Croatia,Total - all NACE activities,24637221.67
2008,Croatia,"Agriculture, forestry and fishing",4441426.32
2008,Croatia,Mining and quarrying,1128870.68
2008,Croatia,Manufacturing,6296257.27
2008,Croatia,"Electricity, gas, steam and air conditioning supply",6350270.38
2008,Croatia,"Water supply; sewerage, waste management and remediation activities",1849928.0
2008,Croatia,Construction,1978506.41
2008,Croatia,Wholesale and retail trade; repair of motor vehicles and motorcycles,499112.3
2008,Croatia,Transportation and storage,1023157.28
2008,Croatia,Accommodation and food service activities,53111.83
2008,Croatia,Information and communication,94181.7
2008,Croatia,Financial and insurance activities,66181.94
2008,Croatia,Real estate activities,145401.51
2008,Croatia,"Professional, scientific and technical activities",168545.22
2008,Croatia,Administrative and support service activities,118430.46
2008,Croatia,Public administration and defence; compulsory social security,71382.02
2008,Croatia,Education,82549.39
2008,Croatia,Human health and social work activities,103500.49
2008,Croatia,"Arts, entertainment and recreation",35108.84
2008,Croatia,Other service activities,97113.47
2008,Croatia,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,33564.21
2008,Croatia,Activities of extraterritorial organisations and bodies,621.96
2008,Italy,Total - all NACE activities,441511875.31
2008,Italy,"Agriculture, forestry and fishing",41456875.6
2008,Italy,Mining and quarrying,3463812.52
2008,Italy,Manufacturing,141055661.85
2008,Italy,"Electricity, gas, steam and air conditioning supply",136729589.7
2008,Italy,"Water supply; sewerage, waste management and remediation activities",26755361.39
2008,Italy,Construction,6280225.24
2008,Italy,Wholesale and retail trade; repair of motor vehicles and motorcycles,15749401.41
2008,Italy,Transportation and storage,51592430.21
2008,Italy,Accommodation and food service activities,3710130.91
2008,Italy,Information and communication,450660.35
2008,Italy,Financial and insurance activities,616959.77
2008,Italy,Real estate activities,636801.21
2008,Italy,"Professional, scientific and technical activities",2367527.33
2008,Italy,Administrative and support service activities,1462251.02
2008,Italy,Public administration and defence; compulsory social security,2185857.6
2008,Italy,Education,1130506.59
2008,Italy,Human health and social work activities,4056277.26
2008,Italy,"Arts, entertainment and recreation",818568.28
2008,Italy,Other service activities,930482.8
2008,Italy,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,62494.27
2008,Italy,Activities of extraterritorial organisations and bodies,0.0
2008,Cyprus,Total - all NACE activities,8741024.53
2008,Cyprus,"Agriculture, forestry and fishing",606730.77
2008,Cyprus,Mining and quarrying,33703.69
2008,Cyprus,Manufacturing,1980850.96
2008,Cyprus,"Electricity, gas, steam and air conditioning supply",4006937.82
2008,Cyprus,"Water supply; sewerage, waste management and remediation activities",489550.76
2008,Cyprus,Construction,170868.26
2008,Cyprus,Wholesale and retail trade; repair of motor vehicles and motorcycles,220567.37
2008,Cyprus,Transportation and storage,948973.1
2008,Cyprus,Accommodation and food service activities,34055.45
2008,Cyprus,Information and communication,12540.52
2008,Cyprus,Financial and insurance activities,13884.65
2008,Cyprus,Real estate activities,4850.68
2008,Cyprus,"Professional, scientific and technical activities",29612.16
2008,Cyprus,Administrative and support service activities,59064.86
2008,Cyprus,Public administration and defence; compulsory social security,73584.24
2008,Cyprus,Education,14862.08
2008,Cyprus,Human health and social work activities,13555.66
2008,Cyprus,"Arts, entertainment and recreation",10628.74
2008,Cyprus,Other service activities,16202.69
2008,Cyprus,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.07
2008,Cyprus,Activities of extraterritorial organisations and bodies,0.0
2008,Latvia,Total - all NACE activities,11920832.79
2008,Latvia,"Agriculture, forestry and fishing",2934052.07
2008,Latvia,Mining and quarrying,44879.71
2008,Latvia,Manufacturing,1528964.41
2008,Latvia,"Electricity, gas, steam and air conditioning supply",2054630.67
2008,Latvia,"Water supply; sewerage, waste management and remediation activities",658195.92
2008,Latvia,Construction,393027.67
2008,Latvia,Wholesale and retail trade; repair of motor vehicles and motorcycles,603860.18
2008,Latvia,Transportation and storage,3057039.7
2008,Latvia,Accommodation and food service activities,37276.16
2008,Latvia,Information and communication,28059.6
2008,Latvia,Financial and insurance activities,15445.7
2008,Latvia,Real estate activities,68728.87
2008,Latvia,"Professional, scientific and technical activities",72158.93
2008,Latvia,Administrative and support service activities,92966.25
2008,Latvia,Public administration and defence; compulsory social security,153344.21
2008,Latvia,Education,57656.46
2008,Latvia,Human health and social work activities,65045.44
2008,Latvia,"Arts, entertainment and recreation",38218.11
2008,Latvia,Other service activities,17282.73
2008,Latvia,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Latvia,Activities of extraterritorial organisations and bodies,0.0
2008,Lithuania,Total - all NACE activities,24058471.72
2008,Lithuania,"Agriculture, forestry and fishing",4569892.77
2008,Lithuania,Mining and quarrying,18386.49
2008,Lithuania,Manufacturing,8598435.48
2008,Lithuania,"Electricity, gas, steam and air conditioning supply",3232978.85
2008,Lithuania,"Water supply; sewerage, waste management and remediation activities",1421375.11
2008,Lithuania,Construction,138674.41
2008,Lithuania,Wholesale and retail trade; repair of motor vehicles and motorcycles,164235.44
2008,Lithuania,Transportation and storage,5635851.81
2008,Lithuania,Accommodation and food service activities,15179.85
2008,Lithuania,Information and communication,11502.52
2008,Lithuania,Financial and insurance activities,9173.09
2008,Lithuania,Real estate activities,12086.33
2008,Lithuania,"Professional, scientific and technical activities",24053.87
2008,Lithuania,Administrative and support service activities,24116.14
2008,Lithuania,Public administration and defence; compulsory social security,58224.97
2008,Lithuania,Education,56990.66
2008,Lithuania,Human health and social work activities,41969.88
2008,Lithuania,"Arts, entertainment and recreation",8813.81
2008,Lithuania,Other service activities,15216.25
2008,Lithuania,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1314.01
2008,Lithuania,Activities of extraterritorial organisations and bodies,0.0
2008,Luxembourg,Total - all NACE activities,8306034.65
2008,Luxembourg,"Agriculture, forestry and fishing",717235.23
2008,Luxembourg,Mining and quarrying,4925.81
2008,Luxembourg,Manufacturing,1819281.34
2008,Luxembourg,"Electricity, gas, steam and air conditioning supply",1188151.5
2008,Luxembourg,"Water supply; sewerage, waste management and remediation activities",125497.95
2008,Luxembourg,Construction,188216.5
2008,Luxembourg,Wholesale and retail trade; repair of motor vehicles and motorcycles,179780.0
2008,Luxembourg,Transportation and storage,3647170.25
2008,Luxembourg,Accommodation and food service activities,20003.97
2008,Luxembourg,Information and communication,44039.37
2008,Luxembourg,Financial and insurance activities,226220.44
2008,Luxembourg,Real estate activities,5426.85
2008,Luxembourg,"Professional, scientific and technical activities",18797.52
2008,Luxembourg,Administrative and support service activities,22452.75
2008,Luxembourg,Public administration and defence; compulsory social security,22437.74
2008,Luxembourg,Education,21184.68
2008,Luxembourg,Human health and social work activities,35323.56
2008,Luxembourg,"Arts, entertainment and recreation",14684.75
2008,Luxembourg,Other service activities,5204.44
2008,Luxembourg,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0
2008,Luxembourg,Activities of extraterritorial organisations and bodies,0.0
2008,Hungary,Total - all NACE activities,56644776.16
2008,Hungary,"Agriculture, forestry and fishing",7964787.6
2008,Hungary,Mining and quarrying,1082283.6
2008,Hungary,Manufacturing,11677259.3
2008,Hungary,"Electricity, gas, steam and air conditioning supply",19844434.09
2008,Hungary,"Water supply; sewerage, waste management and remediation activities",4431033.17
2008,Hungary,Construction,877518.44
2008,Hungary,Wholesale and retail trade; repair of motor vehicles and motorcycles,1886670.1
2008,Hungary,Transportation and storage,5020333.27
2008,Hungary,Accommodation and food service activities,180322.69
2008,Hungary,Information and communication,463110.45
2008,Hungary,Financial and insurance activities,280007.78
2008,Hungary,Real estate activities,469791.62
2008,Hungary,"Professional, scientific and technical activities",363779.2
2008,Hungary,Administrative and support service activities,488051.39
2008,Hungary,Public administration and defence; compulsory social security,740562.3
2008,Hungary,Education,309318.08
2008,Hungary,Human health and social work activities,352212.52
2008,Hungary,"Arts, entertainment and recreation",67838.02
2008,Hungary,Other service activities,144763.1
2008,Hungary,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,699.43
2008,Hungary,Activities of extraterritorial organisations and bodies,0.0
2008,Malta,Total - all NACE activities,3631983.2
2008,Malta,"Agriculture, forestry and fishing",82094.01
2008,Malta,Mining and quarrying,4292.81
2008,Malta,Manufacturing,50614.42
2008,Malta,"Electricity, gas, steam and air conditioning supply",1446203.32
2008,Malta,"Water supply; sewerage, waste management and remediation activities",124234.05
2008,Malta,Construction,21718.35
2008,Malta,Wholesale and retail trade; repair of motor vehicles and motorcycles,37770.91
2008,Malta,Transportation and storage,1787511.0
2008,Malta,Accommodation and food service activities,5550.12
2008,Malta,Information and communication,6642.65
2008,Malta,Financial and insurance activities,3576.89
2008,Malta,Real estate activities,3158.72
2008,Malta,"Professional, scientific and technical activities",10226.06
2008,Malta,Administrative and support service activities,15455.12
2008,Malta,Public administration and defence; compulsory social security,10433.14
2008,Malta,Education,4217.23
2008,Malta,Human health and social work activities,9393.43
2008,Malta,"Arts, entertainment and recreation",4313.02
2008,Malta,Other service activities,4376.06
2008,Malta,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,201.9
2008,Malta,Activities of extraterritorial organisations and bodies,0.0
2008,Netherlands,Total - all NACE activities,185880877.07
2008,Netherlands,"Agriculture, forestry and fishing",29508862.66
2008,Netherlands,Mining and quarrying,3113840.51
2008,Netherlands,Manufacturing,49866723.63
